Name,Departament ,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70
name1,Producción ,Casi siempre,Casi siempre,Algunas veces,Algunas veces,Casi siempre,Casi nunca,Nunca,Nunca,Casi siempre. ,Siempre,Casi nunca,Casi nunca,Siempre,Nunca,Algunas veces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Nunca,Nunca,Nunca,Siempre,Algunas veces,Casi siempre ,Casi siempre ,Siempre,Casi siempre ,Nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Casi siempre ,Siempre,Nunca,Algunas veces,Algunas veces,Casi nunca,Algunas veces,Algunas veces,Algunas veces,Casi siempre ,Siempre,Algunas veces,Siempre,Casi nunca,Algunas veces,Siempre,Casi nunca,Algunas veces,Algunas veces,Casi siempre ,Algunas veces,Algunas veces,Siempre,Casi siempre ,Nunca,Nunca,Nunca,Casi nunca,Nunca,,,,,,,,
name2,Producción habilitado,Siempre,Nunca,Nunca,Siempre,Casi siempre,Nunca,Nunca,Nunca,Casi nunca,Casi nunca,Casi siempre. ,Nunca,Siempre,Casi siempre. ,Casi nunca,Casi nunca,Algunas veces,Casi nunca,Nunca,Nunca,Casi nunca,Nunca,Casi nunca,Casi nunca,Siempre,Casi nunca,Siempre,Casi siempre ,Casi nunca,Nunca,Nunca,Casi nunca,Casi siempre ,Casi siempre ,Siempre,Nunca,Casi siempre ,Casi siempre ,Algunas veces,Algunas veces,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Siempre,Casi nunca,Siempre,Siempre,Siempre,Nunca,Siempre,Algunas veces,Algunas veces,Siempre,Siempre,Casi siempre ,Algunas veces,Nunca,Algunas veces,Nunca,Algunas veces,,,,,,,,
name3,Producción habilitado,Siempre,Casi nunca,Algunas veces,Siempre,Siempre,Algunas veces,Casi nunca,Casi nunca,Siempre,Casi siempre. ,Casi nunca,Casi nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Algunas veces,Casi nunca,Casi nunca,Algunas veces,Algunas veces,Siempre,Algunas veces,Siempre,Casi nunca,Siempre,Casi nunca,Nunca,Algunas veces,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Algunas veces,Algunas veces,Casi siempre ,Casi siempre ,Algunas veces,Algunas veces,Siempre,Casi siempre ,Casi nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Algunas veces,Casi siempre ,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,,,,
name4,Producción habilitado,Siempre,Algunas veces,Siempre,Casi siempre,Casi siempre,Casi nunca,Algunas veces,Nunca,Casi siempre. ,Siempre,Algunas veces,Algunas veces,Siempre,Siempre,Algunas veces,Nunca,Algunas veces,Casi nunca,Nunca,Nunca,Nunca,Algunas veces,Casi siempre ,Casi siempre ,Algunas veces,Casi siempre ,Algunas veces,Algunas veces,Nunca,Siempre,Casi siempre ,Algunas veces,Siempre,Casi siempre ,Siempre,Casi siempre ,Casi siempre ,Siempre,Siempre,Casi siempre ,Siempre,Casi siempre ,Siempre,Siempre,Siempre,Casi siempre ,Casi siempre ,Siempre,Siempre,Siempre,Algunas veces,Casi siempre ,Casi siempre ,Algunas veces,Siempre,Siempre,Casi siempre ,Algunas veces,Nunca,Nunca,Nunca,Nunca,,,,,,,,
name5,Producción habilitado,Siempre,Algunas veces,Siempre,Siempre,Siempre,Casi nunca,Casi nunca,Casi nunca,Siempre,Casi siempre. ,Casi nunca,Casi nunca,Siempre,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Nunca,Nunca,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Nunca,Siempre,Siempre,Nunca,Siempre,Siempre,Siempre,Casi nunca,Nunca,Nunca,Nunca,Nunca,,,,,,,,
name6,Servicios,Siempre,Casi nunca,Nunca,Siempre,Nunca,Nunca,Nunca,Nunca,Siempre,Casi nunca,Casi nunca,Casi nunca,Siempre,Siempre,Casi nunca,Nunca,Nunca,Casi nunca,Nunca,Nunca,Nunca,Nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Siempre,Siempre,Casi siempre ,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Siempre,Siempre,Siempre,Nunca,Algunas veces,Nunca,Algunas veces,Nunca,,,,,,,,
name7,Seguridad,Siempre,Algunas veces,Siempre,Siempre,Algunas veces,Nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Casi siempre. ,Nunca,Siempre,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Casi nunca,Siempre,Nunca,Algunas veces,Nunca,Casi siempre ,Siempre,Siempre,Siempre,Nunca,Siempre,Algunas veces,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Algunas veces,Algunas veces,Siempre,Siempre,Siempre,Siempre,Siempre,Algunas veces,Algunas veces,Nunca,Casi nunca,Algunas veces,,,,,,,,
name8,Servicios,Siempre,Algunas veces,Nunca,Siempre,Nunca,Nunca,Nunca,Algunas veces,Siempre,Nunca,Nunca,Nunca,Algunas veces,Siempre,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Siempre,Nunca,Siempre,Nunca,Siempre,Nunca,Nunca,Nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Algunas veces,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Nunca,Siempre,Siempre,Siempre,Casi siempre ,Casi siempre ,Siempre,Algunas veces,Siempre,Siempre,Siempre,Nunca,Algunas veces,Nunca,Nunca,Nunca,,,,,,,,
name9,Seguridad,Siempre,Nunca,Nunca,Siempre,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Algunas veces,Algunas veces,Casi siempre ,Nunca,Siempre,Siempre,Siempre,Siempre,Casi nunca,Algunas veces,Siempre,Siempre,Siempre,Siempre,Siempre,Algunas veces,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Algunas veces,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Siempre,Siempre,Siempre,Algunas veces,Nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,,,,,,,,
name10,Almacén,Casi nunca,Casi nunca,Siempre,Siempre,Casi nunca,Algunas veces,Casi nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Casi siempre. ,Casi siempre. ,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi siempre ,Casi nunca,Casi nunca,Algunas veces,Algunas veces,Algunas veces,Casi nunca,Algunas veces,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Algunas veces,Algunas veces,Siempre,Siempre,Casi siempre ,Siempre,Siempre,Algunas veces,Casi siempre ,Siempre,Siempre,Siempre,Algunas veces,Algunas veces,Siempre,Siempre,Algunas veces,Casi siempre ,Casi siempre ,Casi nunca,Siempre,Siempre,Siempre,Algunas veces,Nunca,Casi nunca,Nunca,Nunca,Algunas veces,Casi nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Casi nunca
name11,Producción ,Siempre,Algunas veces,Siempre,Siempre,Algunas veces,Algunas veces,Casi nunca,Casi nunca,Siempre,Casi siempre. ,Algunas veces,Nunca,Siempre,Nunca,Algunas veces,Algunas veces,Casi nunca,Nunca,Casi nunca,Nunca,Algunas veces,Nunca,Siempre,Siempre,Algunas veces,Casi nunca,Casi siempre ,Algunas veces,Algunas veces,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Algunas veces,Algunas veces,Casi siempre ,Algunas veces,Siempre,Casi siempre ,Casi siempre ,Algunas veces,Algunas veces,Casi siempre ,Siempre,Siempre,Casi siempre ,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Siempre,Algunas veces,Casi siempre ,Casi siempre ,Casi siempre ,Algunas veces,Nunca,Nunca,Nunca,Nunca,,,,,,,,
name12,Almacén,Casi siempre,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Algunas veces,Casi siempre. ,Casi nunca,Algunas veces,Siempre,Casi nunca,Algunas veces,Casi nunca,Nunca,Casi nunca,Nunca,Nunca,Casi nunca,Nunca,Casi siempre ,Nunca,Siempre,Casi siempre ,Siempre,Siempre,Algunas veces,Nunca,Casi siempre ,Algunas veces,Casi siempre ,Siempre,Algunas veces,Nunca,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Algunas veces,Casi siempre ,Siempre,Siempre,Casi nunca,Casi nunca,Casi siempre ,Nunca,Casi siempre ,Siempre,Siempre,Casi nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,,,,
name13,Calidad,Siempre,Algunas veces,Algunas veces,Siempre,Casi nunca,Algunas veces,Casi nunca,Algunas veces,Casi siempre. ,Algunas veces,Algunas veces,Algunas veces,Siempre,Casi nunca,Nunca,Nunca,Casi siempre. ,Casi nunca,Casi nunca,Nunca,Nunca,Nunca,Casi siempre ,Casi siempre ,Algunas veces,Algunas veces,Casi siempre ,Casi siempre ,Casi nunca,Casi nunca,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Casi siempre ,Siempre,Siempre,Siempre,Casi nunca,Casi nunca,Nunca,Nunca,Nunca,Casi nunca,Nunca,Nunca,Nunca,,,,
name14,Producción ,Algunas veces,Casi nunca,Casi siempre,Casi siempre,Casi siempre,Algunas veces,Algunas veces,Casi nunca,Casi siempre. ,Algunas veces,Algunas veces,Algunas veces,Casi siempre. ,Casi siempre. ,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Nunca,Algunas veces,Casi nunca,Casi siempre ,Casi nunca,Casi siempre ,Casi siempre ,Casi siempre ,Algunas veces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Algunas veces,Algunas veces,Casi siempre ,Algunas veces,Algunas veces,Casi siempre ,Casi siempre ,Casi siempre ,Algunas veces,Casi nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Siempre,Casi siempre ,Nunca,Nunca,Siempre,Casi siempre ,Siempre,Siempre,Siempre,Casi nunca,Casi nunca,Nunca,Casi nunca,Nunca,,,,,Algunas veces,Algunas veces,Casi nunca,Nunca
name15,Producción ,Casi siempre,Nunca,Nunca,Siempre,Siempre,Algunas veces,Algunas veces,Casi nunca,Siempre,Siempre,Casi siempre. ,Siempre,Siempre,Siempre,Casi nunca,Siempre,Algunas veces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Nunca,Casi siempre ,Nunca,Siempre,Siempre,Casi siempre ,Casi siempre ,Casi nunca,Casi siempre ,Casi siempre ,Algunas veces,Algunas veces,Casi nunca,Algunas veces,Algunas veces,Siempre,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Algunas veces,Algunas veces,Casi siempre ,Siempre,Siempre,Algunas veces,Siempre,Siempre,Algunas veces,Siempre,Siempre,Siempre,Nunca,Nunca,Nunca,Casi nunca,Nunca,,,,,,,,
name16,Producción ,Casi siempre,Casi nunca,Siempre,Siempre,Casi siempre,Algunas veces,Algunas veces,Casi nunca,Casi siempre. ,Siempre,Casi siempre. ,Casi siempre. ,Siempre,Siempre,Algunas veces,Casi nunca,Nunca,Nunca,Nunca,Casi nunca,Nunca,Nunca,Siempre,Siempre,Algunas veces,Casi siempre ,Casi siempre ,Algunas veces,Casi nunca,Algunas veces,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Algunas veces,Casi siempre ,Casi siempre ,Algunas veces,Siempre,Siempre,Siempre,Casi nunca,Nunca,Nunca,Nunca,Nunca,Casi nunca,Nunca,Nunca,Nunca,Casi nunca,Casi nunca,Siempre,Nunca
name17,Producción ,Siempre,Algunas veces,Siempre,Siempre,Siempre,Casi nunca,Casi nunca,Algunas veces,Siempre,Algunas veces,Algunas veces,Algunas veces,Siempre,Siempre,Casi nunca,Casi nunca,Algunas veces,Algunas veces,Algunas veces,Nunca,Algunas veces,Nunca,Siempre,Siempre,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,Siempre,Algunas veces,Algunas veces,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Algunas veces,Siempre,Siempre,Siempre,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,,,,,Nunca,Nunca,Nunca,Nunca
name18,Producción ,Siempre,Algunas veces,Siempre,Siempre,Siempre,Nunca,Nunca,Algunas veces,Siempre,Algunas veces,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Algunas veces,Siempre,Siempre,Siempre,Casi nunca,Nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Algunas veces,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Algunas veces,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Siempre,Siempre,Nunca,Nunca,Nunca,Nunca,,,,,,,,
name19,Mantenimiento,Siempre,Casi nunca,Siempre,Siempre,Algunas veces,Algunas veces,Casi nunca,Nunca,Siempre,Algunas veces,Algunas veces,Nunca,Siempre,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Siempre,Nunca,Algunas veces,Siempre,Siempre,Siempre,Nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Casi nunca,Nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Nunca,Nunca,Nunca,Nunca,,,,,Casi nunca,Nunca,Nunca,Nunca
name20,Producción ,Casi siempre,Casi nunca,Siempre,Siempre,Siempre,Casi nunca,Casi nunca,Casi nunca,Siempre,Siempre,Siempre,Algunas veces,Casi siempre. ,Siempre,Algunas veces,Algunas veces,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Algunas veces,Siempre,Siempre,Algunas veces,Algunas veces,Siempre,Algunas veces,Casi siempre ,Algunas veces,Siempre,Casi siempre ,Siempre,Siempre,Algunas veces,Algunas veces,Siempre,Siempre,Siempre,Algunas veces,Siempre,Nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Casi nunca,Siempre,Siempre,Siempre,Casi nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Algunas veces,Casi nunca,Casi nunca,Nunca,Algunas veces,Nunca,,,,,Nunca,Nunca,Siempre,Nunca
name21,Producción ,Siempre,Siempre,Siempre,Algunas veces,Siempre,Algunas veces,Casi nunca,Siempre,Siempre,Siempre,Algunas veces,Casi nunca,Casi siempre. ,Siempre,Algunas veces,Algunas veces,Casi nunca,Casi siempre. ,Casi nunca,Nunca,Nunca,Algunas veces,Casi siempre ,Casi siempre ,Algunas veces,Algunas veces,Casi siempre ,Casi siempre ,Nunca,Casi nunca,Siempre,Algunas veces,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Algunas veces,Casi siempre ,Casi siempre ,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Siempre,Algunas veces,Algunas veces,Casi siempre ,Siempre,Siempre,Algunas veces,Casi siempre ,Casi siempre ,Casi siempre ,Siempre,Siempre,Siempre,Algunas veces,Casi nunca,Algunas veces,Nunca,Nunca,,,,,Casi siempre,Algunas veces,Algunas veces,Casi siempre
name22,Producción ,Casi siempre,Siempre,Siempre,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Nunca,Siempre,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Nunca,Algunas veces,Algunas veces,Algunas veces,Nunca,Algunas veces,Nunca,Siempre,Siempre,Siempre,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Siempre,Siempre,Siempre,Siempre,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Algunas veces,Siempre,Algunas veces,Algunas veces,Algunas veces,Casi siempre ,Algunas veces,Algunas veces,Siempre,Siempre,Siempre,Casi siempre ,Casi siempre ,Siempre,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Algunas veces,Nunca,Algunas veces,Nunca,Algunas veces,,,,,,,,
