Name,Departament ,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70
name45,Mantenimiento,Casi siempre,Algunas veces,Siempre,Casi siempre,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Siempre,Siempre,Siempre,Algunas veces,Algunas veces,Siempre,Algunas veces,Algunas veces,Casi nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Siempre,Algunas veces,Algunas veces,Casi siempre ,Casi siempre ,Siempre,Algunas veces,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Siempre,Siempre,Siempre,Algunas veces,Siempre,Siempre,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,,,,,,,,
name46,Compras,Casi siempre,Algunas veces,Algunas veces,Casi siempre,Casi nunca,Casi siempre. ,Algunas veces,Casi siempre. ,Casi siempre. ,Casi siempre. ,Casi siempre. ,Siempre,Algunas veces,Casi siempre. ,Algunas veces,Casi nunca,Algunas veces,Casi nunca,Casi nunca,Casi nunca,Algunas veces,Nunca,Siempre,Casi siempre ,Algunas veces,Nunca,Algunas veces,Casi nunca,Algunas veces,Algunas veces,Casi siempre ,Algunas veces,Casi siempre ,Casi siempre ,Casi nunca,Algunas veces,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Siempre,Algunas veces,Algunas veces,Siempre,Algunas veces,Algunas veces,Siempre,Siempre,Siempre,Algunas veces,Casi nunca,Casi nunca,Nunca,Nunca,Siempre,Algunas veces,Casi siempre,Algunas veces,,,,
name47,Producción ,Siempre,Algunas veces,Algunas veces,Siempre,Casi nunca,Algunas veces,Casi siempre. ,Algunas veces,Siempre,Casi siempre. ,Casi siempre. ,Casi siempre. ,Siempre,Siempre,Casi nunca,Nunca,Casi nunca,Algunas veces,Nunca,Casi nunca,Casi nunca,Casi nunca,Siempre,Siempre,Algunas veces,Algunas veces,Casi siempre ,Algunas veces,Algunas veces,Algunas veces,Siempre,Siempre,Casi siempre ,Casi siempre ,Algunas veces,Algunas veces,Casi siempre ,Siempre,Siempre,Casi siempre ,Casi siempre ,Siempre,Casi siempre ,Siempre,Casi siempre ,Siempre,Casi siempre ,Casi siempre ,Siempre,Siempre,Algunas veces,Casi siempre ,Casi siempre ,Casi siempre ,Siempre,Siempre,Siempre,Algunas veces,Nunca,Algunas veces,Nunca,Nunca,Algunas veces,Nunca,Algunas veces,Casi nunca,Algunas veces,Algunas veces,Casi nunca,Casi nunca
name48,Ingeniería,Siempre,Casi nunca,Casi nunca,Casi siempre,Casi nunca,Casi siempre. ,Casi siempre. ,Casi siempre. ,Siempre,Siempre,Casi siempre. ,Siempre,Siempre,Casi siempre. ,Algunas veces,Nunca,Siempre,Algunas veces,Siempre,Algunas veces,Casi siempre. ,Nunca,Siempre,Siempre,Algunas veces,Casi siempre ,Casi siempre ,Siempre,Algunas veces,Algunas veces,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Nunca,Nunca,Siempre,Nunca,Nunca,Nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,,,,
name49,Seguridad,Siempre,Casi nunca,Casi nunca,Siempre,Nunca,Casi nunca,Nunca,Nunca,Casi siempre. ,Algunas veces,Casi nunca,Algunas veces,Siempre,Algunas veces,Nunca,Nunca,Casi nunca,Casi nunca,Nunca,Nunca,Nunca,Nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Algunas veces,Siempre,Siempre,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,,,,
name50,Sistema de gestión de calidad,Siempre,Algunas veces,Casi nunca,Casi siempre,Nunca,Algunas veces,Casi nunca,Casi siempre. ,Siempre,Casi siempre. ,Siempre,Siempre,Casi siempre. ,Siempre,Algunas veces,Algunas veces,Casi siempre. ,Algunas veces,Algunas veces,Algunas veces,Casi siempre. ,Casi nunca,Siempre,Casi nunca,Algunas veces,Casi siempre ,Algunas veces,Siempre,Algunas veces,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Algunas veces,Siempre,Siempre,Casi siempre ,Siempre,Siempre,Casi nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Casi siempre ,Casi siempre ,Siempre,Casi siempre ,Algunas veces,Casi siempre ,Siempre,Casi nunca,Siempre,Siempre,Siempre,Algunas veces,Casi siempre ,Casi nunca,Algunas veces,Nunca,Casi nunca,Nunca,Casi nunca,Nunca,,,,
name51,Calidad,Casi siempre,Algunas veces,Algunas veces,Siempre,Algunas veces,Casi siempre. ,Casi nunca,Algunas veces,Siempre,Algunas veces,Casi siempre. ,Siempre,Siempre,Casi siempre. ,Casi nunca,Algunas veces,Casi siempre. ,Algunas veces,Algunas veces,Casi nunca,Nunca,Nunca,Siempre,Siempre,Siempre,Casi nunca,Siempre,Casi nunca,Nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Algunas veces,Siempre,Casi siempre ,Algunas veces,Siempre,Siempre,Siempre,Algunas veces,Casi nunca,Casi nunca,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,,,,
name52,Producción ,Siempre,Casi nunca,Casi siempre,Siempre,Casi siempre,Algunas veces,Casi siempre. ,Algunas veces,Siempre,Siempre,Algunas veces,Casi nunca,Siempre,Siempre,Casi nunca,Nunca,Casi nunca,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Siempre,Nunca,Algunas veces,Siempre,Algunas veces,Casi siempre ,Nunca,Algunas veces,Siempre,Nunca,Siempre,Algunas veces,Nunca,Nunca,Algunas veces,Siempre,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Casi nunca,Nunca,Nunca,Nunca,Nunca,,,,,Nunca,Nunca,Nunca,Nunca
name53,Producción ,Casi siempre,Algunas veces,Casi siempre,Siempre,Casi siempre,Casi nunca,Casi nunca,Algunas veces,Casi siempre. ,Casi siempre. ,Casi nunca,Casi nunca,Casi siempre. ,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Casi nunca,Nunca,Casi siempre ,Siempre,Algunas veces,Algunas veces,Casi siempre ,Casi siempre ,Casi nunca,Algunas veces,Casi siempre ,Siempre,Casi siempre ,Siempre,Algunas veces,Siempre,Siempre,Siempre,Algunas veces,Siempre,Casi siempre ,Casi siempre ,Siempre,Siempre,Casi siempre ,Siempre,Algunas veces,Siempre,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Nunca,Siempre,Siempre,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,,,,,,,,
name54,Proyectos,Casi siempre,Casi nunca,Casi nunca,Casi siempre,Casi nunca,Algunas veces,Algunas veces,Casi nunca,Casi siempre. ,Casi siempre. ,Algunas veces,Siempre,Siempre,Siempre,Nunca,Nunca,Casi nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Siempre,Casi siempre ,Algunas veces,Casi siempre ,Casi siempre ,Algunas veces,Nunca,Algunas veces,Siempre,Siempre,Siempre,Siempre,Algunas veces,Algunas veces,Siempre,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Siempre,Casi siempre ,Algunas veces,Casi siempre ,Siempre,Siempre,Siempre,Casi nunca,Nunca,Casi nunca,Nunca,Nunca,Casi nunca,Nunca,Nunca,Nunca,,,,
name55,Ingeniería,Siempre,Casi nunca,Casi nunca,Casi siempre,Casi nunca,Casi siempre. ,Algunas veces,Algunas veces,Siempre,Siempre,Casi siempre. ,Casi siempre. ,Siempre,Siempre,Algunas veces,Algunas veces,Algunas veces,Nunca,Algunas veces,Algunas veces,Algunas veces,Casi nunca,Siempre,Siempre,Siempre,Casi siempre ,Casi siempre ,Casi siempre ,Algunas veces,Algunas veces,Siempre,Casi siempre ,Siempre,Siempre,Siempre,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Siempre,Siempre,Casi nunca,Casi siempre ,Algunas veces,Algunas veces,Algunas veces,Casi siempre ,Casi siempre ,Siempre,Casi siempre ,Algunas veces,Siempre,Casi siempre ,Algunas veces,Siempre,Siempre,Siempre,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Casi nunca,Casi nunca,Nunca,Casi nunca,Nunca,Casi nunca,Nunca,Nunca,Casi nunca
name56,Producción ,Siempre,Casi nunca,Casi nunca,Casi siempre,Casi nunca,Algunas veces,Casi nunca,Casi nunca,Siempre,Casi siempre. ,Casi siempre. ,Siempre,Siempre,Casi siempre. ,Casi nunca,Nunca,Nunca,Nunca,Casi nunca,Casi nunca,Algunas veces,Casi nunca,Siempre,Algunas veces,Casi siempre ,Algunas veces,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Siempre,Casi siempre ,Casi siempre ,Casi siempre ,Casi nunca,Algunas veces,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Algunas veces,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Siempre,Casi siempre ,Casi nunca,Casi siempre ,Casi nunca,Casi siempre ,Siempre,Siempre,Siempre,Casi siempre ,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Casi nunca,Nunca,Casi nunca
name57,Producción ,Casi siempre,Casi siempre,Algunas veces,Casi siempre,Casi nunca,Casi nunca,Algunas veces,Algunas veces,Siempre,Siempre,Algunas veces,Casi nunca,Algunas veces,Casi nunca,Casi nunca,Nunca,Algunas veces,Casi nunca,Casi nunca,Nunca,Algunas veces,Casi nunca,Casi siempre ,Siempre,Algunas veces,Algunas veces,Algunas veces,Casi siempre ,Algunas veces,Algunas veces,Siempre,Siempre,Siempre,Siempre,Algunas veces,Algunas veces,Algunas veces,Casi siempre ,Casi siempre ,Casi siempre ,Algunas veces,Siempre,Siempre,Siempre,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Algunas veces,Siempre,Siempre,Algunas veces,Siempre,Siempre,Casi siempre ,Algunas veces,Algunas veces,Casi nunca,Casi nunca,Nunca,,,,,,,,
name58,Producción ,Casi siempre,Casi nunca,Siempre,Siempre,Siempre,Algunas veces,Algunas veces,Casi nunca,Siempre,Algunas veces,Algunas veces,Algunas veces,Siempre,Siempre,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Casi nunca,Nunca,Nunca,Nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Casi nunca,Casi nunca,Algunas veces,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Algunas veces,Algunas veces,Siempre,Casi siempre ,Casi siempre ,Algunas veces,Casi siempre ,Casi siempre ,Siempre,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Casi siempre ,Siempre,Algunas veces,Siempre,Siempre,Siempre,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,,,,
name59,Ingeniería,Siempre,Algunas veces,Algunas veces,Casi siempre,Casi nunca,Algunas veces,Casi siempre. ,Casi siempre. ,Casi siempre. ,Siempre,Algunas veces,Casi siempre. ,Algunas veces,Algunas veces,Casi nunca,Nunca,Algunas veces,Casi nunca,Nunca,Nunca,Casi nunca,Nunca,Casi siempre ,Algunas veces,Algunas veces,Casi nunca,Algunas veces,Algunas veces,Algunas veces,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Algunas veces,Casi siempre ,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Casi siempre ,Siempre,Siempre,Siempre,Algunas veces,Algunas veces,Algunas veces,Casi nunca,Siempre,Siempre,Siempre,Algunas veces,Nunca,Casi nunca,Nunca,Nunca,,,,,,,,
name60,Producción ,Siempre,Algunas veces,Casi nunca,Siempre,Casi nunca,Algunas veces,Algunas veces,Algunas veces,Siempre,Casi siempre. ,Algunas veces,Algunas veces,Siempre,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Siempre,Casi siempre ,Algunas veces,Algunas veces,Casi siempre ,Algunas veces,Casi nunca,Algunas veces,Siempre,Siempre,Siempre,Casi siempre ,Casi siempre ,Siempre,Casi siempre ,Casi siempre ,Casi siempre ,Siempre,Casi siempre ,Casi siempre ,Siempre,Siempre,Siempre,Algunas veces,Siempre,Siempre,Siempre,Algunas veces,Casi nunca,Algunas veces,Algunas veces,Algunas veces,Siempre,Siempre,Siempre,Casi nunca,Nunca,Nunca,Nunca,Nunca,,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca
name61,Producción ,Casi siempre,Siempre,Siempre,Siempre,Siempre,Algunas veces,Algunas veces,Nunca,Siempre,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Nunca,Casi nunca,Algunas veces,Nunca,Algunas veces,Nunca,Casi siempre ,Algunas veces,Algunas veces,Casi nunca,Algunas veces,Casi nunca,Casi siempre ,Casi siempre ,Casi siempre ,Siempre,Nunca,Nunca,Algunas veces,Casi nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Casi nunca,Casi nunca,Algunas veces,Nunca,Algunas veces,Siempre,Algunas veces,Nunca,Nunca,Nunca,Algunas veces,Siempre,Siempre,Nunca,Algunas veces,Nunca,Algunas veces,Algunas veces,Nunca,,,,,,,,
name62,Producción ,Casi siempre,Casi nunca,Siempre,Siempre,Siempre,Casi nunca,Casi siempre. ,Casi siempre. ,Siempre,Algunas veces,Casi siempre. ,Casi nunca,Siempre,Casi nunca,Algunas veces,Nunca,Algunas veces,Casi nunca,Casi nunca,Nunca,Algunas veces,Casi siempre. ,Casi siempre ,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Nunca,Algunas veces,Siempre,Algunas veces,Algunas veces,Siempre,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Siempre,Algunas veces,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Algunas veces,Algunas veces,Casi siempre ,Siempre,Siempre,Algunas veces,Algunas veces,Casi nunca,Siempre,Algunas veces,Siempre,Casi siempre ,Nunca,Nunca,Casi nunca,Casi nunca,Nunca,,,,,,,,
name63,Producción ,Algunas veces,Algunas veces,Siempre,Algunas veces,Casi siempre,Algunas veces,Algunas veces,Nunca,Casi siempre. ,Algunas veces,Casi nunca,Algunas veces,Algunas veces,Nunca,Algunas veces,Algunas veces,Algunas veces,Casi nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Casi siempre ,Algunas veces,Algunas veces,Algunas veces,Casi nunca,Algunas veces,Siempre,Casi nunca,Algunas veces,Casi siempre ,Siempre,Nunca,Algunas veces,Algunas veces,Algunas veces,Casi siempre ,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Casi siempre ,Algunas veces,Casi nunca,Algunas veces,Siempre,Siempre,Nunca,Siempre,Siempre,Algunas veces,Siempre,Siempre,Siempre,Nunca,Nunca,Nunca,Nunca,Algunas veces,Casi nunca,Nunca,Nunca,Nunca,Nunca,Casi siempre,Algunas veces,Algunas veces
name64,Producción ,Algunas veces,Casi siempre,Siempre,Algunas veces,Siempre,Algunas veces,Algunas veces,Nunca,Siempre,Algunas veces,Algunas veces,Nunca,Siempre,Nunca,Algunas veces,Nunca,Casi nunca,Algunas veces,Nunca,Nunca,Casi nunca,Nunca,Algunas veces,Casi nunca,Algunas veces,Casi nunca,Algunas veces,Algunas veces,Algunas veces,Casi nunca,Siempre,Casi siempre ,Siempre,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Casi nunca,Algunas veces,Algunas veces,Algunas veces,Casi siempre ,Siempre,Casi siempre ,Siempre,Algunas veces,Algunas veces,Siempre,Casi siempre ,Algunas veces,Casi siempre ,Algunas veces,Algunas veces,Siempre,Siempre,Algunas veces,Nunca,Nunca,Casi nunca,Nunca,Nunca,,,,,,,,
name65,Producción ,Algunas veces,Algunas veces,Siempre,Algunas veces,Siempre,Algunas veces,Algunas veces,Casi nunca,Siempre,Casi siempre. ,Algunas veces,Algunas veces,Siempre,Casi nunca,Algunas veces,Algunas veces,Nunca,Casi nunca,Nunca,Nunca,Algunas veces,Nunca,Siempre,Casi nunca,Algunas veces,Nunca,Casi siempre ,Algunas veces,Casi siempre ,Algunas veces,Siempre,Algunas veces,Algunas veces,Casi siempre ,Algunas veces,Casi siempre ,Casi siempre ,Algunas veces,Casi siempre ,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Casi siempre ,Algunas veces,Algunas veces,Nunca,Casi siempre ,Siempre,Siempre,Algunas veces,Algunas veces,Casi siempre ,Algunas veces,Casi siempre ,Siempre,Algunas veces,Casi nunca,Nunca,Algunas veces,Casi nunca,Nunca,,,,,,,,
name66,Producción ,Casi siempre,Casi siempre,Siempre,Casi siempre,Siempre,Algunas veces,Nunca,Algunas veces,Siempre,Casi siempre. ,Casi nunca,Casi nunca,Casi nunca,Casi siempre. ,Casi nunca,Nunca,Algunas veces,Algunas veces,Nunca,Nunca,Algunas veces,Nunca,Siempre,Siempre,Algunas veces,Casi nunca,Siempre,Nunca,Nunca,Nunca,Siempre,Casi siempre ,Siempre,Siempre,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Casi siempre ,Siempre,Siempre,Algunas veces,Algunas veces,Casi nunca,Casi siempre ,Algunas veces,Algunas veces,Casi siempre ,Siempre,Casi siempre ,Casi siempre ,Siempre,Algunas veces,Casi nunca,Casi siempre ,Casi siempre ,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Nunca,,,,,,,,
name67,Producción ,Casi siempre,Algunas veces,Siempre,Algunas veces,Siempre,Algunas veces,Casi nunca,Nunca,Siempre,Siempre,Algunas veces,Siempre,Siempre,Siempre,Nunca,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Nunca,Algunas veces,Nunca,Siempre,Nunca,Siempre,Algunas veces,Siempre,Algunas veces,Algunas veces,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Algunas veces,Nunca,Siempre,Siempre,Siempre,Siempre,Siempre,Algunas veces,Siempre,Siempre,Siempre,Siempre,Algunas veces,Siempre,Siempre,Siempre,Algunas veces,Siempre,Siempre,Casi siempre ,Siempre,Siempre,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,,,,,Nunca,Algunas veces,Algunas veces,Algunas veces
